node1	node2
hsa-miR-4705	ENSG00000124549
hsa-miR-34a-3p	ENSG00000124549
hsa-miR-18a-3p	ENSG00000126005
hsa-miR-5690	ENSG00000126005
hsa-miR-7-5p	ENSG00000126005
hsa-miR-449c-5p	ENSG00000126005
hsa-miR-518c-5p	ENSG00000126005
hsa-miR-192-3p	ENSG00000126005
hsa-miR-671-5p	ENSG00000126005
hsa-miR-4422	ENSG00000126005
hsa-miR-30c-1-3p	ENSG00000126005
hsa-miR-877-3p	ENSG00000126005
hsa-miR-34b-5p	ENSG00000126005
hsa-miR-940	ENSG00000126005
hsa-miR-326	ENSG00000126005
hsa-miR-146b-5p	ENSG00000126005
hsa-miR-301a-5p	ENSG00000126005
hsa-miR-22-3p	ENSG00000126005
hsa-miR-3619-5p	ENSG00000126005
hsa-miR-361-5p	ENSG00000126005
hsa-miR-34c-5p	ENSG00000126005
hsa-miR-545-3p	ENSG00000126005
hsa-miR-518a-3p	ENSG00000126005
hsa-miR-192-5p	ENSG00000126005
hsa-miR-224-5p	ENSG00000126005
hsa-miR-548k	ENSG00000126005
hsa-miR-449b-5p	ENSG00000126005
hsa-miR-769-3p	ENSG00000126005
hsa-miR-3194-3p	ENSG00000126005
hsa-miR-766-5p	ENSG00000126005
hsa-miR-9-5p	ENSG00000126005
hsa-miR-124-3p	ENSG00000126005
hsa-miR-146a-3p	ENSG00000126005
hsa-miR-185-5p	ENSG00000126005
hsa-miR-505-5p	ENSG00000126005
hsa-miR-30c-2-3p	ENSG00000126005
hsa-miR-204-3p	ENSG00000126005
hsa-miR-532-3p	ENSG00000127589
hsa-miR-449a	ENSG00000127589
hsa-miR-34a-5p	ENSG00000127589
hsa-miR-27b-5p	ENSG00000127589
hsa-miR-449b-5p	ENSG00000127589
hsa-miR-516b-5p	ENSG00000127589
hsa-miR-29b-1-5p	ENSG00000127589
hsa-miR-769-5p	ENSG00000127589
hsa-miR-96-5p	ENSG00000127589
hsa-miR-9-5p	ENSG00000127589
hsa-miR-574-3p	ENSG00000127589
hsa-miR-34c-5p	ENSG00000127589
hsa-miR-182-5p	ENSG00000127589
hsa-miR-935	ENSG00000127589
hsa-miR-1281	ENSG00000127589
hsa-miR-29b-2-5p	ENSG00000127589
hsa-miR-29a-5p	ENSG00000127589
hsa-miR-488-5p	ENSG00000127589
hsa-miR-26a-5p	ENSG00000128692
hsa-miR-5006-3p	ENSG00000128692
hsa-miR-204-5p	ENSG00000128692
hsa-miR-603	ENSG00000130600
hsa-miR-2114-5p	ENSG00000130600
hsa-miR-744-5p	ENSG00000130600
hsa-miR-29c-3p	ENSG00000130600
hsa-miR-1247-5p	ENSG00000130600
hsa-miR-1270	ENSG00000130600
hsa-miR-29b-1-5p	ENSG00000130600
hsa-miR-23b-5p	ENSG00000130600
hsa-miR-4691-3p	ENSG00000130600
hsa-miR-760	ENSG00000130600
hsa-miR-130b-3p	ENSG00000130600
hsa-miR-1913	ENSG00000130600
hsa-miR-30b-3p	ENSG00000130600
hsa-miR-873-5p	ENSG00000130600
hsa-miR-106b-5p	ENSG00000130600
hsa-miR-1271-5p	ENSG00000130600
hsa-miR-532-3p	ENSG00000130600
hsa-miR-132-5p	ENSG00000130600
hsa-miR-24-3p	ENSG00000130600
hsa-miR-30a-5p	ENSG00000130600
hsa-miR-191-3p	ENSG00000130600
hsa-miR-3175	ENSG00000130600
hsa-miR-615-3p	ENSG00000130600
hsa-let-7b-5p	ENSG00000130600
hsa-miR-1260a	ENSG00000130600
hsa-miR-188-3p	ENSG00000130600
hsa-miR-148b-3p	ENSG00000130600
hsa-let-7g-5p	ENSG00000130600
hsa-miR-129-1-3p	ENSG00000130600
hsa-miR-491-5p	ENSG00000130600
hsa-miR-151a-5p	ENSG00000130600
hsa-miR-2110	ENSG00000130600
hsa-miR-30c-2-3p	ENSG00000130600
hsa-miR-18b-5p	ENSG00000130600
hsa-miR-20a-5p	ENSG00000130600
hsa-miR-143-3p	ENSG00000130600
hsa-miR-103a-3p	ENSG00000130600
hsa-miR-330-5p	ENSG00000130600
hsa-miR-188-5p	ENSG00000130600
hsa-miR-4787-5p	ENSG00000130600
hsa-miR-200b-3p	ENSG00000130600
hsa-miR-520a-5p	ENSG00000130600
hsa-miR-484	ENSG00000130600
hsa-miR-24-1-5p	ENSG00000130600
hsa-miR-340-3p	ENSG00000130600
hsa-miR-20b-5p	ENSG00000130600
hsa-miR-193b-5p	ENSG00000130600
hsa-miR-93-3p	ENSG00000130600
hsa-miR-99b-5p	ENSG00000130600
hsa-miR-24-2-5p	ENSG00000130600
hsa-miR-1226-3p	ENSG00000130600
hsa-miR-18a-5p	ENSG00000130600
hsa-miR-641	ENSG00000130600
hsa-miR-19b-3p	ENSG00000130600
hsa-miR-361-3p	ENSG00000130600
hsa-miR-550a-3p	ENSG00000130600
hsa-miR-1825	ENSG00000130600
hsa-miR-214-5p	ENSG00000130600
hsa-miR-18a-3p	ENSG00000130600
hsa-miR-940	ENSG00000130600
hsa-miR-486-5p	ENSG00000130600
hsa-miR-28-5p	ENSG00000130600
hsa-miR-766-3p	ENSG00000130600
hsa-miR-518a-5p	ENSG00000130600
hsa-miR-93-5p	ENSG00000130600
hsa-miR-100-3p	ENSG00000130600
hsa-miR-378a-5p	ENSG00000130600
hsa-miR-378g	ENSG00000130600
hsa-miR-769-3p	ENSG00000130600
hsa-let-7i-5p	ENSG00000130600
hsa-miR-185-3p	ENSG00000130600
hsa-miR-127-5p	ENSG00000130600
hsa-miR-590-5p	ENSG00000130600
hsa-miR-342-3p	ENSG00000130600
hsa-miR-624-3p	ENSG00000130600
hsa-miR-541-5p	ENSG00000130600
hsa-miR-485-5p	ENSG00000130600
hsa-miR-99a-5p	ENSG00000130600
hsa-miR-331-3p	ENSG00000130600
hsa-miR-29b-3p	ENSG00000130600
hsa-miR-129-2-3p	ENSG00000130600
hsa-miR-141-5p	ENSG00000130600
hsa-miR-27b-5p	ENSG00000130600
hsa-let-7f-5p	ENSG00000130600
hsa-miR-30c-1-3p	ENSG00000130600
hsa-miR-33a-3p	ENSG00000130600
hsa-miR-15a-3p	ENSG00000130600
hsa-miR-675-5p	ENSG00000130600
hsa-miR-3194-5p	ENSG00000130600
hsa-let-7i-3p	ENSG00000130600
hsa-miR-425-5p	ENSG00000130600
hsa-miR-505-3p	ENSG00000130600
hsa-miR-148a-3p	ENSG00000130600
hsa-miR-10a-3p	ENSG00000130600
hsa-miR-146b-3p	ENSG00000130600
hsa-miR-29a-3p	ENSG00000130600
hsa-miR-30b-5p	ENSG00000130600
hsa-miR-199b-5p	ENSG00000130600
hsa-miR-4254	ENSG00000130600
hsa-miR-339-5p	ENSG00000130600
hsa-miR-19a-3p	ENSG00000130600
hsa-miR-429	ENSG00000130600
hsa-miR-324-3p	ENSG00000130600
hsa-miR-196b-5p	ENSG00000130600
hsa-miR-29b-2-5p	ENSG00000130600
hsa-miR-769-5p	ENSG00000130600
hsa-miR-518f-5p	ENSG00000130600
hsa-miR-454-3p	ENSG00000130600
hsa-miR-194-3p	ENSG00000130600
hsa-miR-136-5p	ENSG00000130600
hsa-miR-125b-2-3p	ENSG00000130600
hsa-miR-3194-3p	ENSG00000130600
hsa-miR-141-3p	ENSG00000130600
hsa-miR-181a-3p	ENSG00000130600
hsa-miR-1914-3p	ENSG00000130600
hsa-miR-33b-3p	ENSG00000130600
hsa-miR-30e-5p	ENSG00000130600
hsa-miR-221-3p	ENSG00000130600
hsa-miR-625-5p	ENSG00000130600
hsa-miR-301b-3p	ENSG00000130600
hsa-miR-346	ENSG00000130600
hsa-miR-30d-5p	ENSG00000130600
hsa-miR-30c-5p	ENSG00000130600
hsa-miR-338-3p	ENSG00000130600
hsa-miR-423-5p	ENSG00000130600
hsa-miR-200c-3p	ENSG00000130600
hsa-miR-17-5p	ENSG00000130600
hsa-miR-296-5p	ENSG00000130600
hsa-miR-130a-3p	ENSG00000130600
hsa-miR-873-3p	ENSG00000130600
hsa-miR-10b-3p	ENSG00000130600
hsa-miR-326	ENSG00000130600
hsa-miR-99b-3p	ENSG00000130600
hsa-miR-486-3p	ENSG00000130600
hsa-miR-550a-3-5p	ENSG00000130600
hsa-miR-105-5p	ENSG00000130600
hsa-miR-2355-5p	ENSG00000130600
hsa-miR-125a-5p	ENSG00000130600
hsa-let-7a-5p	ENSG00000130600
hsa-miR-518c-5p	ENSG00000130600
hsa-miR-200a-3p	ENSG00000130600
hsa-miR-107	ENSG00000130600
hsa-miR-125b-5p	ENSG00000130600
hsa-miR-377-3p	ENSG00000130600
hsa-miR-17-3p	ENSG00000130600
hsa-miR-301a-3p	ENSG00000130600
hsa-miR-616-5p	ENSG00000130600
hsa-miR-5586-3p	ENSG00000130600
hsa-miR-193b-3p	ENSG00000130600
hsa-miR-10a-5p	ENSG00000130600
hsa-miR-589-3p	ENSG00000130600
hsa-miR-186-5p	ENSG00000130600
hsa-miR-483-3p	ENSG00000130600
hsa-miR-92b-5p	ENSG00000130600
hsa-miR-100-5p	ENSG00000130600
hsa-miR-135b-3p	ENSG00000130600
hsa-miR-222-3p	ENSG00000130600
hsa-miR-192-3p	ENSG00000130600
hsa-miR-99a-3p	ENSG00000130600
hsa-miR-199a-5p	ENSG00000130600
hsa-miR-196a-5p	ENSG00000130600
hsa-miR-143-5p	ENSG00000130600
hsa-miR-212-5p	ENSG00000130600
hsa-miR-361-5p	ENSG00000131002
hsa-miR-377-3p	ENSG00000131002
hsa-miR-103a-3p	ENSG00000131002
hsa-miR-138-5p	ENSG00000131002
hsa-miR-15b-5p	ENSG00000131002
hsa-miR-365b-3p	ENSG00000131002
hsa-miR-424-5p	ENSG00000131002
hsa-miR-181a-5p	ENSG00000131002
hsa-miR-7-5p	ENSG00000131002
hsa-miR-369-3p	ENSG00000131002
hsa-miR-19b-3p	ENSG00000131002
hsa-miR-30c-5p	ENSG00000131002
hsa-miR-19a-3p	ENSG00000131002
hsa-miR-185-5p	ENSG00000131002
hsa-miR-15a-5p	ENSG00000131002
hsa-let-7a-5p	ENSG00000131002
hsa-miR-195-5p	ENSG00000131002
hsa-miR-26a-5p	ENSG00000131002
hsa-miR-16-5p	ENSG00000131002
hsa-miR-18b-5p	ENSG00000131002
hsa-miR-126-5p	ENSG00000131002
hsa-let-7e-5p	ENSG00000131002
hsa-miR-107	ENSG00000131002
hsa-miR-101-3p	ENSG00000131002
hsa-miR-425-5p	ENSG00000131002
hsa-let-7i-5p	ENSG00000131002
hsa-let-7b-5p	ENSG00000131002
hsa-miR-32-3p	ENSG00000131002
hsa-miR-27a-3p	ENSG00000131002
hsa-miR-574-5p	ENSG00000131002
hsa-miR-148b-3p	ENSG00000131002
hsa-miR-10a-3p	ENSG00000131002
hsa-miR-497-5p	ENSG00000131002
hsa-miR-136-3p	ENSG00000131002
hsa-miR-4705	ENSG00000131002
hsa-miR-137-3p	ENSG00000131002
hsa-miR-1-3p	ENSG00000131002
hsa-miR-3611	ENSG00000131002
hsa-miR-139-5p	ENSG00000131002
hsa-let-7f-5p	ENSG00000131002
hsa-miR-365a-3p	ENSG00000131002
hsa-miR-22-3p	ENSG00000131002
hsa-let-7g-5p	ENSG00000131002
hsa-miR-18a-5p	ENSG00000131002
hsa-miR-30b-5p	ENSG00000131002
hsa-miR-455-5p	ENSG00000131002
hsa-miR-23b-3p	ENSG00000131002
hsa-miR-485-5p	ENSG00000131002
hsa-miR-432-5p	ENSG00000131002
hsa-miR-23a-3p	ENSG00000131002
hsa-miR-9-3p	ENSG00000131002
hsa-miR-628-5p	ENSG00000131797
hsa-miR-423-3p	ENSG00000131797
hsa-miR-1976	ENSG00000131797
hsa-miR-3157-5p	ENSG00000131797
hsa-let-7d-5p	ENSG00000131797
hsa-miR-550a-5p	ENSG00000131797
hsa-miR-4766-3p	ENSG00000131797
hsa-miR-5008-3p	ENSG00000131797
hsa-miR-766-5p	ENSG00000131797
hsa-miR-497-3p	ENSG00000131797
hsa-miR-545-3p	ENSG00000131797
hsa-miR-30a-3p	ENSG00000131797
hsa-miR-27b-3p	ENSG00000131797
hsa-miR-214-3p	ENSG00000131797
hsa-miR-708-5p	ENSG00000131797
hsa-let-7f-5p	ENSG00000131797
hsa-miR-550a-3-5p	ENSG00000131797
hsa-miR-124-3p	ENSG00000131797
hsa-miR-30e-3p	ENSG00000131797
hsa-miR-125b-2-3p	ENSG00000131797
hsa-miR-199b-5p	ENSG00000131797
hsa-miR-3194-3p	ENSG00000131797
